GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2013,2013,,AFR,Africa,,TCD,2013,2013,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,13.9 [7.8-21.4],13.90000,7.80000,21.40000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2014,2014,,AFR,Africa,,TCD,2014,2014,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,13.7 [7.6-21.3],13.70000,7.60000,21.30000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,2015,2015,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,13.5 [7.3-21.3],13.50000,7.30000,21.30000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2016,2016,,AFR,Africa,,TCD,2016,2016,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,13.3 [7.0-21.3],13.30000,7.00000,21.30000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,19.2 [9.9-29.7],19.20000,9.90000,29.70000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,19.0 [9.9-29.4],19.00000,9.90000,29.40000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,18.8 [9.9-29.0],18.80000,9.90000,29.00000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,18.6 [9.9-28.7],18.60000,9.90000,28.70000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1997,1997,,AFR,Africa,,TCD,1997,1997,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.4 [9.1-25.2],16.40000,9.10000,25.20000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.2 [9.0-24.9],16.20000,9.00000,24.90000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1999,1999,,AFR,Africa,,TCD,1999,1999,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.1 [8.9-24.6],16.10000,8.90000,24.60000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,15.9 [8.9-24.4],15.90000,8.90000,24.40000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2013,2013,,AFR,Africa,,TCD,2013,2013,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.8 [7.1-22.3],13.80000,7.10000,22.30000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2014,2014,,AFR,Africa,,TCD,2014,2014,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.7 [6.8-22.3],13.70000,6.80000,22.30000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,2015,2015,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.5 [6.7-22.3],13.50000,6.70000,22.30000,,,
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2016,2016,,AFR,Africa,,TCD,2016,2016,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.4 [6.4-22.4],13.40000,6.40000,22.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.5 [13.3-26.4],19.50000,13.30000,26.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.3 [13.2-26.0],19.30000,13.20000,26.00000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.1 [13.1-25.7],19.10000,13.10000,25.70000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,18.9 [13.1-25.4],18.90000,13.10000,25.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1997,1997,,AFR,Africa,,TCD,1997,1997,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,16.7 [11.9-22.3],16.70000,11.90000,22.30000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,16.6 [11.8-22.1],16.60000,11.80000,22.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1999,1999,,AFR,Africa,,TCD,1999,1999,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,16.4 [11.7-21.9],16.40000,11.70000,21.90000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,16.3 [11.7-21.7],16.30000,11.70000,21.70000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2013,2013,,AFR,Africa,,TCD,2013,2013,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,14.2 [9.8-19.3],14.20000,9.80000,19.30000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2014,2014,,AFR,Africa,,TCD,2014,2014,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,14.1 [9.6-19.1],14.10000,9.60000,19.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,2015,2015,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,13.9 [9.4-19.1],13.90000,9.40000,19.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2016,2016,,AFR,Africa,,TCD,2016,2016,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,13.7 [9.2-19.1],13.70000,9.20000,19.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,20.1 [11.6-29.9],20.10000,11.60000,29.90000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.8 [11.6-29.4],19.80000,11.60000,29.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.6 [11.6-29.0],19.60000,11.60000,29.00000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.4 [11.5-28.4],19.40000,11.50000,28.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1997,1997,,AFR,Africa,,TCD,1997,1997,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,16.9 [10.4-24.5],16.90000,10.40000,24.50000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,16.8 [10.3-24.3],16.80000,10.30000,24.30000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1999,1999,,AFR,Africa,,TCD,1999,1999,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,16.6 [10.2-24.1],16.60000,10.20000,24.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,16.5 [10.1-23.7],16.50000,10.10000,23.70000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2013,2013,,AFR,Africa,,TCD,2013,2013,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,14.4 [8.5-21.5],14.40000,8.50000,21.50000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2014,2014,,AFR,Africa,,TCD,2014,2014,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,14.2 [8.2-21.5],14.20000,8.20000,21.50000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,2015,2015,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,14.0 [8.0-21.5],14.00000,8.00000,21.50000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2016,2016,,AFR,Africa,,TCD,2016,2016,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,13.9 [7.8-21.4],13.90000,7.80000,21.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,19.0 [10.2-29.1],19.00000,10.20000,29.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,18.8 [10.2-28.7],18.80000,10.20000,28.70000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,18.6 [10.2-28.3],18.60000,10.20000,28.30000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,18.5 [10.1-28.1],18.50000,10.10000,28.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1997,1997,,AFR,Africa,,TCD,1997,1997,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.5 [9.5-24.9],16.50000,9.50000,24.90000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.3 [9.4-24.7],16.30000,9.40000,24.70000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1999,1999,,AFR,Africa,,TCD,1999,1999,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.2 [9.4-24.4],16.20000,9.40000,24.40000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,16.0 [9.3-24.1],16.00000,9.30000,24.10000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2013,2013,,AFR,Africa,,TCD,2013,2013,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,14.1 [7.7-22.2],14.10000,7.70000,22.20000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2014,2014,,AFR,Africa,,TCD,2014,2014,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.9 [7.4-22.2],13.90000,7.40000,22.20000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,2015,2015,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.8 [7.3-22.2],13.80000,7.30000,22.20000,,,
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2016,2016,,AFR,Africa,,TCD,2016,2016,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,13.6 [7.0-22.2],13.60000,7.00000,22.20000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,AFR,Africa,,TCD,1985,1985,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.6 [18.5-20.7],19.60000,18.50000,20.70000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1986,1986,,AFR,Africa,,TCD,1986,1986,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.7 [18.6-20.8],19.70000,18.60000,20.80000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987,1987,,AFR,Africa,,TCD,1987,1987,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.8 [18.7-20.8],19.80000,18.70000,20.80000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988,1988,,AFR,Africa,,TCD,1988,1988,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.8 [18.8-20.9],19.80000,18.80000,20.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989,1989,,AFR,Africa,,TCD,1989,1989,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,19.9 [19.0-20.9],19.90000,19.00000,20.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2002,2002,,AFR,Africa,,TCD,2002,2002,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,21.1 [20.3-21.8],21.10000,20.30000,21.80000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003,2003,,AFR,Africa,,TCD,2003,2003,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,21.2 [20.4-21.9],21.20000,20.40000,21.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2004,2004,,AFR,Africa,,TCD,2004,2004,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,21.2 [20.5-22.0],21.20000,20.50000,22.00000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005,2005,,AFR,Africa,,TCD,2005,2005,Chad,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,,,,21.3 [20.6-22.1],21.30000,20.60000,22.10000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,AFR,Africa,,TCD,1985,1985,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.4 [18.0-20.8],19.40000,18.00000,20.80000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1986,1986,,AFR,Africa,,TCD,1986,1986,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.5 [18.2-20.9],19.50000,18.20000,20.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987,1987,,AFR,Africa,,TCD,1987,1987,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.6 [18.4-20.9],19.60000,18.40000,20.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988,1988,,AFR,Africa,,TCD,1988,1988,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.7 [18.5-20.9],19.70000,18.50000,20.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989,1989,,AFR,Africa,,TCD,1989,1989,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,19.8 [18.7-20.9],19.80000,18.70000,20.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2002,2002,,AFR,Africa,,TCD,2002,2002,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,21.0 [20.3-21.7],21.00000,20.30000,21.70000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003,2003,,AFR,Africa,,TCD,2003,2003,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,21.1 [20.4-21.8],21.10000,20.40000,21.80000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2004,2004,,AFR,Africa,,TCD,2004,2004,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,21.2 [20.5-21.8],21.20000,20.50000,21.80000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005,2005,,AFR,Africa,,TCD,2005,2005,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,21.2 [20.6-21.9],21.20000,20.60000,21.90000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,AFR,Africa,,TCD,1985,1985,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,19.8 [18.0-21.6],19.80000,18.00000,21.60000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1986,1986,,AFR,Africa,,TCD,1986,1986,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,19.9 [18.1-21.6],19.90000,18.10000,21.60000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987,1987,,AFR,Africa,,TCD,1987,1987,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,20.0 [18.2-21.7],20.00000,18.20000,21.70000,,,
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988,1988,,AFR,Africa,,TCD,1988,1988,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,20.1 [18.4-21.8],20.10000,18.40000,21.80000,,,
