Solicitation Number,Marketing Agent,Date of Solicitation,Month of Solicitation,Mode of Solicitation,Made Purchase?,Purchase ($),Legacy Customer?
4425,Sanchez,Dec-05,Dec,Meeting,NO,,Not Legacy
20960,Shalley,Jul-22,Jul,email,NO,,Not Legacy
6189,Nguyen,May-29,May,email,NO,,Not Legacy
12119,Shalley,Dec-17,Dec,Meeting,NO,,Not Legacy
21146,Sanchez,Apr-01,Apr,Meeting,YES,"$2,600",Not Legacy
3823,Nguyen,May-03,May,Meeting,YES,"$5,800",Not Legacy
6002,Shalley,Aug-18,Aug,email,YES,"$4,200",Not Legacy
19519,Lydon,Feb-28,Feb,email,NO,,Not Legacy
5741,Sanchez,Nov-23,Nov,email,NO,,Not Legacy
9875,Shalley,Apr-25,Apr,Meeting,YES,"$1,400",Legacy
17389,Nguyen,Aug-07,Aug,Telephone,NO,,Not Legacy
17695,Sanchez,Jan-02,Jan,Meeting,NO,,Legacy
11732,Nguyen,Aug-24,Aug,email,NO,,Not Legacy
6135,Nguyen,Feb-23,Feb,Meeting,NO,,Not Legacy
19704,Shalley,Nov-01,Nov,Meeting,YES,"$2,000",Not Legacy
15275,Sanchez,Apr-03,Apr,email,NO,,Not Legacy
12185,Lydon,Apr-13,Apr,email,NO,,Not Legacy
19430,Shalley,May-24,May,email,NO,,Not Legacy
8123,Nguyen,Jan-26,Jan,Telephone,NO,,Not Legacy
24742,Shalley,Feb-11,Feb,Meeting,NO,,Not Legacy
22811,Lydon,Jan-19,Jan,Telephone,NO,,Not Legacy
23262,Nguyen,Sep-14,Sep,email,NO,,Not Legacy
19010,Nguyen,Jan-27,Jan,Meeting,NO,,Not Legacy
19480,Sanchez,Aug-17,Aug,Meeting,YES,"$5,200",Not Legacy
6390,Nguyen,Aug-01,Aug,Telephone,NO,,Not Legacy
23612,Sanchez,Nov-20,Nov,Telephone,NO,,Not Legacy
22630,Lydon,Feb-07,Feb,email,NO,,Not Legacy
389,Sanchez,May-26,May,email,NO,,Not Legacy
11753,Sanchez,Sep-16,Sep,Meeting,NO,,Not Legacy
21840,Nguyen,Dec-15,Dec,email,NO,,Not Legacy
9494,Sanchez,Oct-14,Oct,Telephone,NO,,Not Legacy
18180,Nguyen,Jul-25,Jul,email,YES,"$1,200",Not Legacy
6465,Shalley,Sep-06,Sep,email,NO,,Not Legacy
19144,Lydon,Jan-26,Jan,Meeting,NO,,Not Legacy
1633,Shalley,Jun-14,Jun,email,NO,,Not Legacy
16435,Sanchez,Sep-29,Sep,email,NO,,Not Legacy
17300,Shalley,Feb-13,Feb,email,NO,,Not Legacy
13939,Sanchez,Nov-02,Nov,email,YES,"$5,000",Not Legacy
108,Nguyen,Dec-11,Dec,Telephone,NO,,Not Legacy
18127,Lydon,Jun-10,Jun,Meeting,NO,,Not Legacy
2017,Shalley,Feb-03,Feb,Meeting,YES,"$7,800",Not Legacy
5184,Nguyen,May-25,May,email,NO,,Not Legacy
12727,Lydon,May-13,May,Meeting,NO,,Not Legacy
7912,Nguyen,Oct-07,Oct,Meeting,NO,,Not Legacy
24226,Nguyen,Aug-22,Aug,Telephone,NO,,Not Legacy
21366,Shalley,Jan-18,Jan,Meeting,NO,,Not Legacy
7197,Shalley,Jan-30,Jan,Telephone,YES,"$1,400",Not Legacy
24613,Sanchez,Dec-30,Dec,Meeting,NO,,Not Legacy
14045,Lydon,Oct-30,Oct,Telephone,NO,,Not Legacy
1683,Lydon,Mar-01,Mar,email,NO,,Legacy
634,Lydon,Aug-29,Aug,Meeting,NO,,Not Legacy
7668,Shalley,Jan-19,Jan,Meeting,NO,,Legacy
15840,Nguyen,Apr-16,Apr,Meeting,YES,"$8,800",Not Legacy
20174,Nguyen,Jul-10,Jul,Meeting,NO,,Not Legacy
4079,Nguyen,Jul-03,Jul,Telephone,NO,,Not Legacy
21375,Lydon,Sep-20,Sep,email,NO,,Not Legacy
22426,Lydon,Jul-10,Jul,Meeting,NO,,Not Legacy
8011,Lydon,Aug-17,Aug,Meeting,YES,"$6,200",Not Legacy
12636,Lydon,Oct-06,Oct,email,NO,,Not Legacy
12254,Lydon,Nov-12,Nov,Meeting,NO,,Not Legacy
20283,Sanchez,Sep-22,Sep,email,NO,,Not Legacy
17423,Sanchez,Jul-28,Jul,email,NO,,Not Legacy
15023,Nguyen,Feb-25,Feb,Telephone,NO,,Not Legacy
5726,Nguyen,Oct-28,Oct,email,NO,,Not Legacy
12326,Shalley,Jul-05,Jul,email,NO,,Not Legacy
7101,Lydon,Apr-25,Apr,email,NO,,Not Legacy
17299,Nguyen,Aug-19,Aug,Meeting,NO,,Not Legacy
8017,Lydon,Dec-16,Dec,Telephone,NO,,Not Legacy
10731,Nguyen,Feb-27,Feb,email,NO,,Not Legacy
2019,Lydon,Jan-28,Jan,email,NO,,Not Legacy
23151,Sanchez,May-05,May,email,NO,,Not Legacy
1007,Sanchez,Apr-03,Apr,Meeting,NO,,Not Legacy
11021,Nguyen,Jan-26,Jan,email,NO,,Legacy
10971,Nguyen,Sep-03,Sep,Telephone,NO,,Not Legacy
12360,Lydon,Oct-02,Oct,Telephone,YES,"$2,600",Not Legacy
19736,Nguyen,Jun-30,Jun,Meeting,NO,,Not Legacy
20788,Sanchez,Mar-23,Mar,email,NO,,Not Legacy
14425,Nguyen,Dec-19,Dec,Meeting,NO,,Not Legacy
8189,Sanchez,Aug-21,Aug,Meeting,NO,,Not Legacy
325,Sanchez,Jan-10,Jan,Meeting,NO,,Not Legacy
8859,Shalley,Mar-18,Mar,Meeting,YES,"$5,200",Not Legacy
16557,Nguyen,Jul-06,Jul,email,NO,,Not Legacy
4548,Nguyen,Apr-18,Apr,email,NO,,Not Legacy
23222,Sanchez,Apr-12,Apr,Meeting,YES,"$3,000",Not Legacy
22278,Sanchez,Jul-07,Jul,email,NO,,Not Legacy
22272,Sanchez,Oct-17,Oct,Meeting,NO,,Not Legacy
13840,Nguyen,May-12,May,email,NO,,Not Legacy
7935,Shalley,Oct-11,Oct,Meeting,NO,,Not Legacy
4018,Nguyen,Aug-30,Aug,Telephone,NO,,Not Legacy
23277,Nguyen,May-15,May,Meeting,YES,"$7,400",Not Legacy
18215,Shalley,Nov-20,Nov,Meeting,NO,,Not Legacy
24757,Nguyen,May-11,May,email,NO,,Legacy
2026,Sanchez,Nov-04,Nov,email,NO,,Not Legacy
8476,Nguyen,May-02,May,Telephone,NO,,Not Legacy
2485,Shalley,Jun-26,Jun,Meeting,NO,,Not Legacy
11605,Sanchez,Sep-07,Sep,email,NO,,Not Legacy
20062,Lydon,Apr-21,Apr,email,NO,,Not Legacy
13581,Nguyen,Jun-23,Jun,Meeting,NO,,Not Legacy
3217,Sanchez,Jul-26,Jul,email,NO,,Not Legacy
10814,Lydon,Jan-04,Jan,email,NO,,Not Legacy
19764,Sanchez,Apr-09,Apr,Telephone,YES,$400,Not Legacy
18558,Nguyen,Jul-27,Jul,Meeting,NO,,Not Legacy
19335,Lydon,Nov-30,Nov,email,NO,,Not Legacy
11871,Lydon,Sep-12,Sep,Meeting,NO,,Not Legacy
14156,Lydon,Apr-12,Apr,Telephone,NO,,Not Legacy
18035,Lydon,Oct-19,Oct,email,NO,,Not Legacy
18593,Sanchez,Apr-06,Apr,email,NO,,Not Legacy
24066,Lydon,Jun-08,Jun,Meeting,NO,,Legacy
14172,Nguyen,Apr-23,Apr,Meeting,NO,,Legacy
12860,Nguyen,Jul-23,Jul,Telephone,YES,"$2,600",Not Legacy
4009,Lydon,Jun-10,Jun,Meeting,YES,"$3,200",Not Legacy
17240,Sanchez,Jul-11,Jul,email,NO,,Legacy
2752,Lydon,Oct-13,Oct,Telephone,NO,,Not Legacy
9629,Lydon,Mar-16,Mar,email,NO,,Not Legacy
24315,Lydon,Jun-02,Jun,email,NO,,Not Legacy
8450,Sanchez,Dec-19,Dec,email,NO,,Not Legacy
5063,Lydon,Sep-26,Sep,Meeting,NO,,Not Legacy
15640,Shalley,Apr-20,Apr,email,NO,,Legacy
1310,Sanchez,Feb-23,Feb,email,NO,,Not Legacy
20919,Sanchez,Aug-26,Aug,Telephone,NO,,Not Legacy
18491,Nguyen,Nov-20,Nov,email,NO,,Not Legacy
729,Lydon,Nov-12,Nov,Telephone,NO,,Not Legacy
9437,Nguyen,Aug-27,Aug,Meeting,NO,,Not Legacy
10742,Sanchez,Feb-11,Feb,email,NO,,Not Legacy
19465,Lydon,Jan-30,Jan,email,NO,,Not Legacy
14428,Nguyen,Jun-20,Jun,Meeting,NO,,Legacy
20321,Nguyen,Sep-30,Sep,email,NO,,Not Legacy
21291,Sanchez,Mar-19,Mar,Meeting,YES,"$9,400",Not Legacy
10535,Lydon,Sep-22,Sep,email,NO,,Not Legacy
2242,Shalley,Sep-27,Sep,Meeting,YES,"$4,200",Legacy
17992,Lydon,May-10,May,email,NO,,Not Legacy
16324,Lydon,Jul-18,Jul,Meeting,YES,$400,Not Legacy
5469,Sanchez,Nov-18,Nov,Meeting,YES,"$8,600",Not Legacy
22358,Nguyen,Dec-21,Dec,Telephone,YES,"$2,200",Not Legacy
12963,Sanchez,Jul-24,Jul,Telephone,NO,,Not Legacy
10816,Shalley,Nov-14,Nov,Meeting,NO,,Not Legacy
9853,Sanchez,May-05,May,Meeting,NO,,Legacy
3287,Sanchez,Jul-05,Jul,Telephone,NO,,Not Legacy
16822,Lydon,May-24,May,Telephone,NO,,Not Legacy
7205,Sanchez,Feb-07,Feb,Telephone,NO,,Not Legacy
8794,Lydon,Mar-02,Mar,Meeting,NO,,Not Legacy
7671,Shalley,Sep-22,Sep,Meeting,NO,,Not Legacy
14198,Shalley,Oct-31,Oct,email,NO,,Not Legacy
22267,Shalley,Oct-07,Oct,email,NO,,Not Legacy
14495,Nguyen,Aug-27,Aug,Telephone,NO,,Not Legacy
9703,Nguyen,May-03,May,Meeting,NO,,Not Legacy
11815,Shalley,Jul-02,Jul,Telephone,NO,,Not Legacy
2340,Lydon,Aug-10,Aug,Meeting,NO,,Not Legacy
9602,Nguyen,Jun-24,Jun,Meeting,NO,,Not Legacy
5721,Lydon,Jan-15,Jan,Meeting,NO,,Not Legacy
6413,Nguyen,Nov-30,Nov,Meeting,NO,,Not Legacy
9426,Lydon,Dec-30,Dec,Telephone,NO,,Not Legacy
10062,Lydon,Sep-15,Sep,Meeting,YES,"$9,400",Not Legacy
20170,Lydon,Nov-01,Nov,email,NO,,Not Legacy
783,Nguyen,Nov-22,Nov,Telephone,NO,,Legacy
7966,Shalley,Jun-16,Jun,email,NO,,Not Legacy
24725,Lydon,Oct-22,Oct,Meeting,YES,"$4,800",Not Legacy
4934,Lydon,Feb-03,Feb,email,NO,,Not Legacy
22927,Lydon,Jun-12,Jun,Meeting,NO,,Not Legacy
15179,Nguyen,Aug-19,Aug,Meeting,NO,,Not Legacy
14880,Lydon,Dec-28,Dec,Meeting,NO,,Not Legacy
24122,Nguyen,Sep-07,Sep,email,NO,,Not Legacy
795,Sanchez,Oct-08,Oct,Meeting,NO,,Not Legacy
23062,Sanchez,Mar-21,Mar,email,NO,,Not Legacy
9551,Shalley,Jul-12,Jul,Meeting,NO,,Legacy
577,Sanchez,Mar-09,Mar,email,NO,,Not Legacy
17361,Sanchez,Aug-20,Aug,Meeting,NO,,Not Legacy
7236,Nguyen,Dec-19,Dec,Telephone,NO,,Legacy
10353,Nguyen,Sep-29,Sep,Meeting,YES,"$9,800",Not Legacy
23885,Nguyen,Nov-30,Nov,Telephone,NO,,Not Legacy
24861,Lydon,Nov-13,Nov,Meeting,NO,,Not Legacy
15094,Lydon,Mar-16,Mar,Telephone,NO,,Not Legacy
9589,Lydon,May-09,May,Telephone,NO,,Not Legacy
11757,Sanchez,Oct-01,Oct,Telephone,NO,,Not Legacy
12008,Lydon,Jun-09,Jun,email,NO,,Not Legacy
24898,Shalley,Nov-18,Nov,email,NO,,Legacy
14233,Sanchez,Nov-17,Nov,Meeting,NO,,Not Legacy
22033,Lydon,Nov-28,Nov,Telephone,NO,,Not Legacy
2652,Nguyen,Dec-22,Dec,email,NO,,Not Legacy
4291,Nguyen,Mar-31,Mar,email,NO,,Not Legacy
20179,Nguyen,Jan-28,Jan,Telephone,NO,,Legacy
2237,Lydon,Aug-28,Aug,Meeting,NO,,Not Legacy
101,Nguyen,Dec-21,Dec,Meeting,NO,,Not Legacy
17714,Shalley,Dec-04,Dec,email,NO,,Not Legacy
19472,Nguyen,May-05,May,Meeting,YES,"$6,200",Not Legacy
13056,Shalley,Oct-25,Oct,Meeting,YES,"$2,800",Not Legacy
23254,Shalley,Mar-09,Mar,email,NO,,Not Legacy
15867,Sanchez,Jul-24,Jul,Meeting,NO,,Not Legacy
11922,Lydon,Sep-03,Sep,Meeting,NO,,Not Legacy
19997,Nguyen,Apr-20,Apr,email,NO,,Not Legacy
5359,Sanchez,Apr-24,Apr,Telephone,NO,,Not Legacy
11247,Nguyen,Dec-01,Dec,Meeting,NO,,Legacy
10679,Nguyen,Nov-17,Nov,Telephone,NO,,Legacy
19790,Sanchez,Apr-30,Apr,email,NO,,Not Legacy
17335,Lydon,Jan-05,Jan,Meeting,NO,,Not Legacy
22991,Sanchez,Apr-16,Apr,Meeting,YES,"$7,200",Legacy
11888,Nguyen,Mar-27,Mar,Meeting,NO,,Not Legacy
7806,Nguyen,Sep-14,Sep,email,NO,,Not Legacy
20691,Sanchez,Oct-04,Oct,email,NO,,Not Legacy
24851,Shalley,Jul-15,Jul,email,NO,,Not Legacy
24643,Sanchez,Aug-04,Aug,email,NO,,Legacy
8713,Nguyen,Nov-09,Nov,Meeting,NO,,Not Legacy
2448,Sanchez,Feb-13,Feb,Meeting,NO,,Not Legacy
10012,Sanchez,Dec-20,Dec,Telephone,NO,,Legacy
11016,Sanchez,May-25,May,Meeting,YES,"$3,400",Not Legacy
7863,Nguyen,Nov-19,Nov,Telephone,NO,,Not Legacy
963,Nguyen,May-18,May,Meeting,YES,"$1,800",Not Legacy
1819,Nguyen,Sep-03,Sep,email,NO,,Not Legacy
9984,Nguyen,Oct-22,Oct,email,NO,,Not Legacy
14485,Lydon,Mar-04,Mar,email,NO,,Not Legacy
296,Lydon,Feb-16,Feb,email,NO,,Legacy
19344,Lydon,Sep-25,Sep,Meeting,NO,,Not Legacy
10360,Lydon,May-18,May,Meeting,YES,"$1,800",Not Legacy
1814,Sanchez,Aug-16,Aug,email,NO,,Not Legacy
15060,Shalley,Aug-26,Aug,email,NO,,Not Legacy
2104,Sanchez,Oct-04,Oct,email,NO,,Not Legacy
19091,Nguyen,Jul-31,Jul,email,NO,,Not Legacy
19609,Nguyen,Sep-08,Sep,email,NO,,Not Legacy
6364,Shalley,Sep-21,Sep,Meeting,NO,,Not Legacy
3540,Shalley,Aug-06,Aug,Meeting,NO,,Not Legacy
14252,Sanchez,Nov-12,Nov,Meeting,NO,,Not Legacy
17157,Sanchez,Feb-20,Feb,email,NO,,Not Legacy
8953,Nguyen,Feb-25,Feb,Telephone,NO,,Not Legacy
12955,Sanchez,Jun-21,Jun,email,NO,,Legacy
22671,Sanchez,May-11,May,Meeting,NO,,Not Legacy
3341,Lydon,Apr-04,Apr,email,NO,,Not Legacy
13714,Lydon,May-16,May,email,NO,,Not Legacy
24975,Nguyen,Sep-20,Sep,Telephone,NO,,Not Legacy
18440,Shalley,Sep-17,Sep,email,NO,,Legacy
24120,Nguyen,May-15,May,email,NO,,Legacy
20155,Nguyen,Jun-20,Jun,Telephone,NO,,Not Legacy
21451,Nguyen,May-21,May,Meeting,NO,,Not Legacy
2729,Lydon,Aug-07,Aug,Telephone,NO,,Not Legacy
13548,Sanchez,Apr-08,Apr,email,NO,,Not Legacy
19899,Nguyen,Sep-13,Sep,email,YES,"$7,000",Legacy
22357,Nguyen,May-13,May,email,NO,,Legacy
5645,Lydon,Mar-30,Mar,Meeting,YES,"$4,200",Not Legacy
2961,Sanchez,Nov-04,Nov,email,NO,,Not Legacy
8303,Nguyen,Jul-22,Jul,email,NO,,Not Legacy
11683,Sanchez,Feb-23,Feb,Meeting,NO,,Legacy
5515,Sanchez,Nov-30,Nov,email,YES,"$7,200",Not Legacy
14400,Sanchez,Oct-05,Oct,Meeting,NO,,Not Legacy
8718,Shalley,Sep-05,Sep,email,NO,,Not Legacy
6657,Shalley,Apr-20,Apr,email,NO,,Not Legacy
19114,Nguyen,Apr-01,Apr,email,NO,,Not Legacy
21205,Lydon,Apr-23,Apr,Telephone,NO,,Not Legacy
11310,Nguyen,Jun-04,Jun,Meeting,NO,,Not Legacy
15510,Shalley,Jun-11,Jun,Meeting,NO,,Not Legacy
6475,Nguyen,Jul-03,Jul,email,NO,,Legacy
20251,Sanchez,Nov-21,Nov,Meeting,NO,,Not Legacy
11087,Sanchez,Sep-29,Sep,email,NO,,Legacy
20726,Lydon,Nov-01,Nov,Meeting,NO,,Not Legacy
18835,Sanchez,Feb-16,Feb,email,NO,,Not Legacy
16402,Nguyen,Apr-26,Apr,email,NO,,Not Legacy
13728,Shalley,Apr-08,Apr,email,NO,,Not Legacy
4399,Nguyen,Dec-14,Dec,email,NO,,Legacy
570,Nguyen,Oct-26,Oct,Meeting,YES,"$7,200",Not Legacy
24882,Sanchez,Sep-09,Sep,email,NO,,Not Legacy
19947,Nguyen,Sep-04,Sep,email,NO,,Not Legacy
24123,Nguyen,Apr-14,Apr,Meeting,YES,"$8,400",Not Legacy
2079,Lydon,Jan-12,Jan,email,NO,,Not Legacy
4020,Lydon,Aug-14,Aug,Meeting,YES,"$6,800",Not Legacy
17500,Nguyen,Jan-10,Jan,Meeting,NO,,Not Legacy
15901,Shalley,Jan-29,Jan,email,NO,,Legacy
1354,Shalley,Jul-22,Jul,Meeting,YES,"$7,400",Legacy
22686,Lydon,Mar-27,Mar,email,NO,,Not Legacy
13825,Lydon,Feb-06,Feb,Meeting,YES,"$8,000",Not Legacy
7856,Shalley,Aug-14,Aug,email,NO,,Legacy
1982,Nguyen,Jun-09,Jun,email,NO,,Not Legacy
20385,Lydon,Nov-19,Nov,email,YES,"$8,200",Not Legacy
7028,Nguyen,Sep-19,Sep,Meeting,NO,,Not Legacy
6873,Lydon,Oct-28,Oct,Meeting,NO,,Not Legacy
20469,Lydon,Aug-15,Aug,email,NO,,Not Legacy
12198,Shalley,Jul-17,Jul,email,YES,"$5,200",Not Legacy
11065,Shalley,May-14,May,email,NO,,Not Legacy
6919,Nguyen,Dec-30,Dec,Telephone,NO,,Not Legacy
22993,Nguyen,Jan-24,Jan,Telephone,NO,,Legacy
1433,Sanchez,Mar-06,Mar,Meeting,NO,,Not Legacy
2385,Nguyen,Dec-29,Dec,Meeting,YES,$400,Not Legacy
23258,Lydon,Mar-02,Mar,Telephone,NO,,Not Legacy
11199,Sanchez,Jun-08,Jun,email,YES,"$9,400",Not Legacy
13150,Sanchez,Mar-08,Mar,Meeting,YES,"$2,200",Not Legacy
2942,Nguyen,Apr-30,Apr,Meeting,NO,,Not Legacy
19460,Nguyen,Jul-07,Jul,Telephone,NO,,Legacy
7827,Sanchez,Apr-26,Apr,Meeting,NO,,Not Legacy
16277,Nguyen,Dec-20,Dec,Meeting,NO,,Not Legacy
12730,Nguyen,Sep-04,Sep,Meeting,NO,,Not Legacy
22583,Sanchez,Apr-26,Apr,email,NO,,Not Legacy
7525,Shalley,Aug-09,Aug,email,NO,,Not Legacy
17978,Lydon,Mar-31,Mar,email,NO,,Not Legacy
20254,Sanchez,Nov-25,Nov,Meeting,YES,"$6,400",Not Legacy
11512,Nguyen,Sep-14,Sep,Telephone,NO,,Not Legacy
22515,Sanchez,May-20,May,Telephone,NO,,Not Legacy
11300,Shalley,Jul-04,Jul,email,NO,,Not Legacy
186,Lydon,May-10,May,Telephone,NO,,Not Legacy
5482,Sanchez,Dec-21,Dec,Meeting,NO,,Not Legacy
11747,Lydon,Feb-29,Feb,email,NO,,Not Legacy
907,Nguyen,Mar-14,Mar,email,NO,,Not Legacy
2678,Lydon,Jul-16,Jul,Meeting,NO,,Not Legacy
16420,Lydon,Jul-09,Jul,Meeting,NO,,Not Legacy
19190,Sanchez,Jun-09,Jun,Meeting,YES,"$4,800",Legacy
21439,Nguyen,Jan-16,Jan,email,NO,,Not Legacy
1503,Sanchez,Apr-27,Apr,Meeting,NO,,Not Legacy
10107,Sanchez,Nov-11,Nov,email,NO,,Not Legacy
21911,Lydon,May-10,May,Meeting,NO,,Not Legacy
13919,Shalley,Feb-01,Feb,Meeting,NO,,Not Legacy
10317,Sanchez,Sep-12,Sep,email,YES,"$8,000",Legacy
20816,Lydon,Jan-14,Jan,Meeting,NO,,Not Legacy
11689,Sanchez,Jun-23,Jun,Meeting,NO,,Not Legacy
19695,Shalley,Sep-12,Sep,Meeting,NO,,Legacy
19965,Lydon,Mar-21,Mar,Meeting,YES,"$2,400",Not Legacy
5760,Shalley,Jan-09,Jan,Meeting,NO,,Not Legacy
15362,Nguyen,Aug-24,Aug,email,NO,,Not Legacy
16201,Sanchez,Jul-27,Jul,Meeting,YES,$600,Not Legacy
17560,Sanchez,Nov-28,Nov,Telephone,NO,,Not Legacy
12661,Shalley,Nov-10,Nov,Meeting,NO,,Not Legacy
8852,Nguyen,Dec-23,Dec,Meeting,NO,,Not Legacy
22818,Shalley,Feb-02,Feb,email,NO,,Not Legacy
10034,Nguyen,Aug-06,Aug,email,NO,,Not Legacy
15223,Shalley,Sep-02,Sep,Meeting,NO,,Not Legacy
15879,Sanchez,Mar-14,Mar,email,NO,,Not Legacy
9528,Nguyen,Aug-04,Aug,Telephone,NO,,Not Legacy
16173,Lydon,Jan-07,Jan,Meeting,YES,"$5,000",Not Legacy
9433,Nguyen,Feb-14,Feb,Meeting,NO,,Not Legacy
16849,Shalley,Aug-15,Aug,Meeting,YES,"$8,200",Legacy
13044,Shalley,Sep-19,Sep,email,NO,,Not Legacy
2374,Nguyen,Sep-13,Sep,email,NO,,Not Legacy
1123,Lydon,Mar-30,Mar,email,NO,,Not Legacy
5911,Nguyen,Sep-14,Sep,Telephone,YES,"$4,000",Not Legacy
23868,Lydon,Jun-04,Jun,email,NO,,Not Legacy
22166,Nguyen,May-09,May,Meeting,NO,,Not Legacy
1884,Sanchez,Mar-19,Mar,email,NO,,Not Legacy
22451,Shalley,Mar-08,Mar,Meeting,NO,,Not Legacy
7254,Shalley,Aug-01,Aug,email,NO,,Not Legacy
8759,Shalley,May-17,May,Meeting,NO,,Not Legacy
24876,Nguyen,Apr-01,Apr,email,NO,,Not Legacy
7422,Lydon,Jun-21,Jun,email,NO,,Not Legacy
8400,Sanchez,Sep-19,Sep,email,NO,,Not Legacy
15879,Nguyen,Dec-09,Dec,email,NO,,Not Legacy
9842,Sanchez,Apr-08,Apr,email,NO,,Not Legacy
22548,Sanchez,Aug-24,Aug,email,NO,,Not Legacy
20010,Nguyen,Apr-28,Apr,Meeting,NO,,Not Legacy
7642,Lydon,Nov-16,Nov,email,NO,,Not Legacy
5640,Lydon,Jul-28,Jul,email,NO,,Not Legacy
21396,Lydon,Sep-09,Sep,Meeting,YES,"$2,600",Not Legacy
18851,Nguyen,Mar-07,Mar,Meeting,NO,,Not Legacy
16957,Lydon,Jun-01,Jun,Meeting,YES,"$1,400",Not Legacy
2825,Shalley,Jan-03,Jan,email,NO,,Not Legacy
17169,Lydon,Aug-21,Aug,email,NO,,Not Legacy
5470,Lydon,Jun-04,Jun,email,NO,,Not Legacy
1736,Lydon,Jun-17,Jun,email,NO,,Not Legacy
13166,Nguyen,Mar-21,Mar,email,NO,,Not Legacy
23322,Shalley,Jul-15,Jul,Meeting,NO,,Not Legacy
23754,Lydon,Jul-18,Jul,Meeting,YES,"$1,400",Not Legacy
13600,Sanchez,Feb-27,Feb,email,NO,,Not Legacy
1649,Sanchez,Nov-06,Nov,email,NO,,Legacy
714,Shalley,Jan-24,Jan,Meeting,YES,"$2,200",Not Legacy
16589,Lydon,Dec-28,Dec,email,NO,,Legacy
18017,Lydon,Jan-22,Jan,Telephone,NO,,Legacy
4086,Shalley,Apr-07,Apr,Meeting,NO,,Not Legacy
18394,Sanchez,Jul-02,Jul,Telephone,NO,,Not Legacy
4064,Nguyen,Sep-13,Sep,Meeting,NO,,Not Legacy
19697,Sanchez,Nov-25,Nov,email,NO,,Not Legacy
23898,Sanchez,May-24,May,Meeting,YES,"$7,400",Not Legacy
24969,Sanchez,Mar-23,Mar,Meeting,NO,,Not Legacy
10881,Shalley,Mar-17,Mar,email,NO,,Not Legacy
4496,Lydon,May-17,May,Meeting,NO,,Not Legacy
24165,Nguyen,Aug-17,Aug,Meeting,NO,,Not Legacy
8792,Nguyen,Oct-13,Oct,Telephone,NO,,Not Legacy
22146,Lydon,Dec-29,Dec,email,NO,,Not Legacy
19206,Lydon,Jun-21,Jun,Meeting,NO,,Legacy
20278,Nguyen,Oct-11,Oct,email,NO,,Not Legacy
18948,Nguyen,Feb-13,Feb,email,NO,,Not Legacy
13149,Lydon,Sep-07,Sep,Meeting,YES,"$6,600",Not Legacy
16482,Nguyen,Dec-10,Dec,Telephone,NO,,Not Legacy
15513,Sanchez,Apr-04,Apr,Meeting,NO,,Not Legacy
406,Lydon,Jun-01,Jun,email,NO,,Not Legacy
23087,Nguyen,Apr-01,Apr,email,NO,,Not Legacy
23477,Lydon,Sep-27,Sep,email,NO,,Not Legacy
24551,Lydon,Jan-28,Jan,email,NO,,Not Legacy
4114,Lydon,Mar-26,Mar,email,NO,,Not Legacy
14275,Shalley,Nov-30,Nov,Meeting,NO,,Not Legacy
4988,Lydon,Sep-06,Sep,Meeting,NO,,Not Legacy
21571,Sanchez,Dec-07,Dec,Meeting,NO,,Not Legacy
5541,Nguyen,Mar-07,Mar,Meeting,NO,,Not Legacy
3739,Nguyen,Jul-04,Jul,Meeting,NO,,Not Legacy
22508,Lydon,Mar-25,Mar,email,NO,,Legacy
24418,Lydon,Nov-13,Nov,Meeting,NO,,Not Legacy
22259,Sanchez,Apr-20,Apr,Telephone,NO,,Not Legacy
16477,Lydon,Nov-21,Nov,email,NO,,Not Legacy
6931,Sanchez,Nov-03,Nov,Meeting,NO,,Not Legacy
23745,Lydon,Mar-10,Mar,email,NO,,Not Legacy
20879,Shalley,Jan-23,Jan,Telephone,NO,,Not Legacy
8375,Sanchez,May-08,May,Telephone,NO,,Legacy
12082,Sanchez,Apr-09,Apr,email,NO,,Not Legacy
20528,Nguyen,Dec-09,Dec,Meeting,NO,,Not Legacy
7977,Lydon,Apr-11,Apr,email,NO,,Not Legacy
14459,Lydon,Oct-22,Oct,Telephone,NO,,Not Legacy
17606,Nguyen,Nov-13,Nov,Telephone,NO,,Not Legacy
12554,Sanchez,Oct-30,Oct,Meeting,YES,"$2,000",Not Legacy
19289,Sanchez,Jun-15,Jun,Meeting,NO,,Not Legacy
7021,Sanchez,Jan-02,Jan,Meeting,NO,,Not Legacy
22426,Shalley,Sep-23,Sep,Telephone,NO,,Not Legacy
10317,Nguyen,Nov-03,Nov,email,NO,,Not Legacy
1966,Shalley,Apr-05,Apr,Meeting,NO,,Not Legacy
8063,Lydon,Aug-09,Aug,email,NO,,Not Legacy
7461,Sanchez,Jul-12,Jul,Meeting,NO,,Not Legacy
15443,Nguyen,Jun-10,Jun,email,NO,,Not Legacy
6410,Lydon,Oct-21,Oct,Telephone,YES,"$8,200",Not Legacy
8156,Shalley,Jul-23,Jul,Telephone,NO,,Not Legacy
10615,Shalley,Apr-08,Apr,Telephone,NO,,Not Legacy
16561,Nguyen,Oct-27,Oct,Telephone,NO,,Not Legacy
24991,Lydon,Jul-16,Jul,email,YES,"$2,200",Not Legacy
13533,Sanchez,Dec-24,Dec,Telephone,NO,,Not Legacy
3119,Lydon,Feb-25,Feb,Telephone,NO,,Not Legacy
3014,Lydon,Sep-17,Sep,Telephone,NO,,Not Legacy
